//Index   Level   Grade   Value         Comment
6769      *       *       3000          //Ruby Necklace
6770      *       *       3000          //Emerald Necklace
6771      *       *       3000          //Sapphire Necklace
6778      *       *       6000          //Skeleton Transformation Ring
6779      *       *       6000          //Pet Skeleton
6819      *       *       6000          //Robot Knight Ring
6820      *       *       6000          //Mini Robot Ring
6821      *       *       6000          //Great Heavenly Mage Ring
6825      *       *       90000         //Decoration Ring
6826      *       *       90000         //Blessed Decoration Ring
6867      *       *       6000          //Evolution Stone
6895      *       *       6000          //Muun Energy Converter
6896      *       *       6000          //Wizardry Stone
7175      0       *       9000          //Siege Potion
7175      1       *       4500          //Siege Potion
7177      1       *       1000          //Ale
7181      *       *       300000        //Jewel of Bless
7182      *       *       200000        //Jewel of Soul
7184      *       *       450000        //Jewel of Life
7185      1       *       1500          //Devil's Eye 1
7185      2       *       2100          //Devil's Eye 2
7185      3       *       3000          //Devil's Eye 3
7185      4       *       4500          //Devil's Eye 4
7185      5       *       6000          //Devil's Eye 5
7185      6       *       7500          //Devil's Eye 6
7185      7       *       9000          //Devil's Eye 7
7186      1       *       1500          //Devil's Key 1
7186      2       *       2100          //Devil's Key 2
7186      3       *       3000          //Devil's Key 3
7186      4       *       4500          //Devil's Key 4
7186      5       *       6000          //Devil's Key 5
7186      6       *       7500          //Devil's Key 6
7186      7       *       9000          //Devil's Key 7
7187      1       *       60000         //Devil's Invitation 1
7187      2       *       84000         //Devil's Invitation 2
7187      3       *       120000        //Devil's Invitation 3
7187      4       *       180000        //Devil's Invitation 4
7187      5       *       240000        //Devil's Invitation 5
7187      6       *       300000        //Devil's Invitation 6
7187      7       *       180000        //Devil's Invitation 7
7188      *       *       900           //Remedy of Love
7189      0       *       9000          //Rena
7189      3       *       3900          //Mark of Lord
7190      *       *       200000        //Jewel of Creation
7191      *       *       9000          //Scroll of the Emperor
7192      *       *       9000          //Broken Sword
7193      *       *       9000          //Tear of Elf
7194      *       *       9000          //Soul Shard of Wizard
7196      *       *       6000          //Lost Map
7197      *       *       30000         //Symbol of Kundun
7199      *       *       100000         //Jewel of Guardian
7203      *       *       2000          //Small SD Potion
7204      *       *       4000          //SD Potion
7205      *       *       6000          //Large SD Potion
7206      *       *       2500          //Small Complex Potion
7207      *       *       5000          //Complex Potion
7208      *       *       7500          //Large Complex Potion
7213      *       *       150           //Pumpkin of Luck
7214      *       *       150           //Jack O'Lantern Blessings
7215      *       *       150           //Jack O'Lantern Wrath
7216      *       *       150           //Jack O'Lantern Cry
7217      *       *       150           //Jack O'Lantern Food
7218      *       *       150           //Jack O'Lantern Drink
7219      *       *       20000         //Chistmas Star
7223      *       *       9000          //Green Chaos Box
7224      *       *       9000          //Red Chaos Box
7225      *       *       9000          //Purple Chaos Box
7231      *       *       2000          //Firecracker
7232      *       *       9000          //Cursed Castle Water
7233      *       *       9000          //Death-beam Knight Flame
7234      *       *       9000          //Hell-Miner Horn
7235      *       *       9000          //Dark Phoenix Feather
7236      *       *       9000          //Abyssal Eye
7253      *       *       300           //Cherry Blossom Wine
7254      *       *       300           //Cherry Blossom Rice Cake
7255      *       *       300           //Cherry Blossom Flower Petal
7256      *       *       300           //White Cherry Blossom Branch
7257      *       *       300           //Red Cherry Blossom Branch
7258      *       *       300           //Golden Cherry Blossom Branch
7268      *       *       300           //Lucky Coin
7269      *       *       3000          //Suspicious Scrap of Paper
7270      *       *       3000          //Gaion's Order
7271      *       *       3000          //First Secromicon Fragment
7272      *       *       3000          //Second Secromicon Fragment
7273      *       *       3000          //Third Secromicon Fragment
7274      *       *       3000          //Fourth Secromicon Fragment
7275      *       *       3000          //Fifth Secromicon Fragment
7276      *       *       3000          //Sixth Secromicon Fragment
7277      *       *       3000          //Complete Secromicon
7278      *       *       3000          //Sign of Dimensions
7279      *       *       6000          //Mirror of Dimensions
7280      *       *       3000          //Silver Key
7281      *       *       3000          //Golden Key
7289      *       *       3000          //Sealed Golden Box
7290      *       *       3000          //Sealed Silver Box
7291      *       *       3000          //Golden Box
7292      *       *       3000          //Silver Box
7309      *       *       67200         //Shining Jewelry Case
7310      *       *       54600         //Elegant Jewelry Case
7311      *       *       47100         //Steel Jewelry Case
7312      *       *       36300         //Old Jewelry Case
7385      *       *       30000         //Titan's Anger
7386      *       *       30000         //Tantalose's Punishment
7387      *       *       30000         //Erohim's Nightmare
7388      *       *       30000         //Hell Maine's Insanity
7389      *       *       30000         //Kundun's Greed
end
