22:38:17 [ServerInfo] CashShop loaded successfully
22:38:17 [ServerInfo] ChaosMix loaded successfully
22:38:17 [ServerInfo] Character loaded successfully
22:38:17 [ServerInfo] Command loaded successfully
22:38:17 [ServerInfo] Common loaded successfully
22:38:18 [ServerInfo] Custom loaded successfully
22:38:18 [ Crywolf ] State (0) -> NONE
22:38:18 [ Crywolf ] SetState - StateInfo : Occupation/0, State/0
22:38:18 [ServerInfo] Event loaded successfully
22:38:18 [ServerInfo] EventItemBag loaded successfully
22:38:18 [ServerInfo] Hack loaded successfully
22:38:18 [ServerInfo] Item loaded successfully
22:38:18 [ServerInfo] Monster loaded successfully
22:38:18 [ServerInfo] Move loaded successfully
22:38:18 [ServerInfo] Quest loaded successfully
22:38:18 [ServerInfo] Shop loaded successfully
22:38:18 [ServerInfo] Skill loaded successfully
22:38:18 [ServerInfo] Util loaded successfully
22:38:18 [Blood Castle] (1) SetState BLANK
22:38:18 [Blood Castle] (2) SetState BLANK
22:38:18 [Blood Castle] (3) SetState BLANK
22:38:18 [Blood Castle] (4) SetState BLANK
22:38:18 [Blood Castle] (5) SetState BLANK
22:38:18 [Blood Castle] (6) SetState BLANK
22:38:18 [Blood Castle] (7) SetState BLANK
22:38:18 [Blood Castle] (8) SetState BLANK
22:38:18 [Castle Deep] Sync Start Time. [321] min remain
22:38:18 [Castle Deep] SetState EMPTY
22:38:18 [Chaos Castle] (1) SetState BLANK
22:38:18 [Chaos Castle] (2) SetState BLANK
22:38:18 [Chaos Castle] (3) SetState BLANK
22:38:18 [Chaos Castle] (4) SetState BLANK
22:38:18 [Chaos Castle] (5) SetState BLANK
22:38:18 [Chaos Castle] (6) SetState BLANK
22:38:18 [Chaos Castle] (7) SetState BLANK
22:38:18 [Devil Square] (1) SetState BLANK
22:38:18 [Devil Square] (2) SetState BLANK
22:38:18 [Devil Square] (3) SetState BLANK
22:38:18 [Devil Square] (4) SetState BLANK
22:38:18 [Devil Square] (5) SetState BLANK
22:38:18 [Devil Square] (6) SetState BLANK
22:38:18 [Devil Square] (7) SetState BLANK
22:38:18 [Illusion Temple] (1) SetState BLANK
22:38:18 [Illusion Temple] (2) SetState BLANK
22:38:18 [Illusion Temple] (3) SetState BLANK
22:38:18 [Illusion Temple] (4) SetState BLANK
22:38:18 [Illusion Temple] (5) SetState BLANK
22:38:18 [Illusion Temple] (6) SetState BLANK
22:42:17 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:21 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:24 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:28 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:32 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:36 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:40 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:44 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:48 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:52 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:56 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:00 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:04 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:08 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:12 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:16 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:20 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:24 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:28 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:32 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:36 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:40 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:44 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:48 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:52 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:43:56 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:00 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:04 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:08 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:12 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:16 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:20 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:24 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:28 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:32 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:36 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:39 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:43 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:47 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:51 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:54 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:44:58 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:02 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:06 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:10 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:14 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:18 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:22 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:26 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:30 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:34 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:38 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:42 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:46 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:50 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:54 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:45:58 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:02 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:06 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:10 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:14 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:18 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:22 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:26 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:30 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:34 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:38 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:42 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:46 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:50 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:54 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:46:58 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:02 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:06 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:10 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:14 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:18 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:22 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:26 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:30 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:34 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:38 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:41 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:45 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:49 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:53 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:47:57 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:48:01 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:48:05 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:48:09 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:48:13 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:48:17 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:48:20 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:48:24 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:51:55 [ServerInfo] CashShop loaded successfully
22:51:55 [ServerInfo] ChaosMix loaded successfully
22:51:55 [ServerInfo] Character loaded successfully
22:51:55 [ServerInfo] Command loaded successfully
22:51:55 [ServerInfo] Common loaded successfully
22:51:55 [ServerInfo] Custom loaded successfully
22:51:55 [ Crywolf ] State (0) -> NONE
22:51:55 [ Crywolf ] SetState - StateInfo : Occupation/0, State/0
22:51:55 [ServerInfo] Event loaded successfully
22:51:55 [ServerInfo] EventItemBag loaded successfully
22:51:55 [ServerInfo] Hack loaded successfully
22:51:55 [ServerInfo] Item loaded successfully
22:51:55 [ServerInfo] Monster loaded successfully
22:51:55 [ServerInfo] Move loaded successfully
22:51:55 [ServerInfo] Quest loaded successfully
22:51:55 [ServerInfo] Shop loaded successfully
22:51:55 [ServerInfo] Skill loaded successfully
22:51:55 [ServerInfo] Util loaded successfully
22:51:55 [Blood Castle] (1) SetState BLANK
22:51:55 [Blood Castle] (2) SetState BLANK
22:51:55 [Blood Castle] (3) SetState BLANK
22:51:55 [Blood Castle] (4) SetState BLANK
22:51:55 [Blood Castle] (5) SetState BLANK
22:51:55 [Blood Castle] (6) SetState BLANK
22:51:55 [Blood Castle] (7) SetState BLANK
22:51:55 [Blood Castle] (8) SetState BLANK
22:51:55 [Castle Deep] Sync Start Time. [308] min remain
22:51:55 [Castle Deep] SetState EMPTY
22:51:55 [Chaos Castle] (1) SetState BLANK
22:51:55 [Chaos Castle] (2) SetState BLANK
22:51:55 [Chaos Castle] (3) SetState BLANK
22:51:55 [Chaos Castle] (4) SetState BLANK
22:51:55 [Chaos Castle] (5) SetState BLANK
22:51:55 [Chaos Castle] (6) SetState BLANK
22:51:55 [Chaos Castle] (7) SetState BLANK
22:51:55 [Devil Square] (1) SetState BLANK
22:51:55 [Devil Square] (2) SetState BLANK
22:51:55 [Devil Square] (3) SetState BLANK
22:51:55 [Devil Square] (4) SetState BLANK
22:51:55 [Devil Square] (5) SetState BLANK
22:51:55 [Devil Square] (6) SetState BLANK
22:51:55 [Devil Square] (7) SetState BLANK
22:51:55 [Illusion Temple] (1) SetState BLANK
22:51:55 [Illusion Temple] (2) SetState BLANK
22:51:55 [Illusion Temple] (3) SetState BLANK
22:51:55 [Illusion Temple] (4) SetState BLANK
22:51:55 [Illusion Temple] (5) SetState BLANK
22:51:55 [Illusion Temple] (6) SetState BLANK
22:51:55 [ RAKLION ] State(0) -> END
22:51:55 [ RAKLION ] [ BossEggDelete ] : BossEgg(0 ea)
22:51:55 [ RAKLION ] [ DeleteSummonMonster ] Delete All SummonMonster
22:51:55 [ RAKLION ] [ BossEggRegen ] : BossEgg(0 ea)
22:52:00 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA FIRST
22:52:03 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:07 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:11 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:14 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:18 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:22 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:25 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:29 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:33 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:37 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:41 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:45 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:52:49 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:01:38 [ServerInfo] CashShop loaded successfully
23:01:38 [ServerInfo] ChaosMix loaded successfully
23:01:38 [ServerInfo] Character loaded successfully
23:01:38 [ServerInfo] Command loaded successfully
23:01:38 [ServerInfo] Common loaded successfully
23:01:38 [ServerInfo] Custom loaded successfully
23:01:38 [ Crywolf ] State (0) -> NONE
23:01:38 [ Crywolf ] SetState - StateInfo : Occupation/0, State/0
23:01:38 [ServerInfo] Event loaded successfully
23:01:38 [ServerInfo] EventItemBag loaded successfully
23:01:38 [ServerInfo] Hack loaded successfully
23:01:38 [ServerInfo] Item loaded successfully
23:01:38 [ServerInfo] Monster loaded successfully
23:01:38 [ServerInfo] Move loaded successfully
23:01:38 [ServerInfo] Quest loaded successfully
23:01:38 [ServerInfo] Shop loaded successfully
23:01:38 [ServerInfo] Skill loaded successfully
23:01:38 [ServerInfo] Util loaded successfully
23:01:38 [Blood Castle] (1) SetState BLANK
23:01:38 [Blood Castle] (2) SetState BLANK
23:01:38 [Blood Castle] (3) SetState BLANK
23:01:38 [Blood Castle] (4) SetState BLANK
23:01:38 [Blood Castle] (5) SetState BLANK
23:01:38 [Blood Castle] (6) SetState BLANK
23:01:38 [Blood Castle] (7) SetState BLANK
23:01:38 [Blood Castle] (8) SetState BLANK
23:01:38 [Castle Deep] Sync Start Time. [298] min remain
23:01:38 [Castle Deep] SetState EMPTY
23:01:38 [Chaos Castle] (1) SetState BLANK
23:01:38 [Chaos Castle] (2) SetState BLANK
23:01:38 [Chaos Castle] (3) SetState BLANK
23:01:38 [Chaos Castle] (4) SetState BLANK
23:01:38 [Chaos Castle] (5) SetState BLANK
23:01:38 [Chaos Castle] (6) SetState BLANK
23:01:38 [Chaos Castle] (7) SetState BLANK
23:01:38 [Devil Square] (1) SetState BLANK
23:01:38 [Devil Square] (2) SetState BLANK
23:01:38 [Devil Square] (3) SetState BLANK
23:01:38 [Devil Square] (4) SetState BLANK
23:01:38 [Devil Square] (5) SetState BLANK
23:01:38 [Devil Square] (6) SetState BLANK
23:01:38 [Devil Square] (7) SetState BLANK
23:01:38 [Illusion Temple] (1) SetState BLANK
23:01:38 [Illusion Temple] (2) SetState BLANK
23:01:38 [Illusion Temple] (3) SetState BLANK
23:01:38 [Illusion Temple] (4) SetState BLANK
23:01:38 [Illusion Temple] (5) SetState BLANK
23:01:38 [Illusion Temple] (6) SetState BLANK
23:01:38 [ RAKLION ] State(0) -> END
23:01:38 [ RAKLION ] [ BossEggDelete ] : BossEgg(0 ea)
23:01:38 [ RAKLION ] [ DeleteSummonMonster ] Delete All SummonMonster
23:01:38 [ RAKLION ] [ BossEggRegen ] : BossEgg(0 ea)
23:01:43 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA FIRST
23:01:47 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:01:50 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:01:54 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:01:58 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:02:02 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:02:06 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:02:10 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:02:14 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:02:18 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:02:22 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
23:15:06 [ServerInfo] CashShop loaded successfully
23:15:06 [ServerInfo] ChaosMix loaded successfully
23:15:06 [ServerInfo] Character loaded successfully
23:15:06 [ServerInfo] Command loaded successfully
23:15:06 [ServerInfo] Common loaded successfully
23:15:06 [ServerInfo] Custom loaded successfully
23:15:06 [ Crywolf ] State (0) -> NONE
23:15:06 [ Crywolf ] SetState - StateInfo : Occupation/0, State/0
23:15:06 [ServerInfo] Event loaded successfully
23:15:06 [ServerInfo] EventItemBag loaded successfully
23:15:06 [ServerInfo] Hack loaded successfully
23:15:06 [ServerInfo] Item loaded successfully
23:15:06 [ServerInfo] Monster loaded successfully
23:15:06 [ServerInfo] Move loaded successfully
23:15:06 [ServerInfo] Quest loaded successfully
23:15:06 [ServerInfo] Shop loaded successfully
23:15:06 [ServerInfo] Skill loaded successfully
23:15:06 [ServerInfo] Util loaded successfully
23:15:06 [Blood Castle] (1) SetState BLANK
23:15:06 [Blood Castle] (2) SetState BLANK
23:15:06 [Blood Castle] (3) SetState BLANK
23:15:06 [Blood Castle] (4) SetState BLANK
23:15:06 [Blood Castle] (5) SetState BLANK
23:15:06 [Blood Castle] (6) SetState BLANK
23:15:06 [Blood Castle] (7) SetState BLANK
23:15:06 [Blood Castle] (8) SetState BLANK
23:15:06 [Castle Deep] Sync Start Time. [284] min remain
23:15:06 [Castle Deep] SetState EMPTY
23:15:06 [Chaos Castle] (1) SetState BLANK
23:15:06 [Chaos Castle] (2) SetState BLANK
23:15:06 [Chaos Castle] (3) SetState BLANK
23:15:06 [Chaos Castle] (4) SetState BLANK
23:15:06 [Chaos Castle] (5) SetState BLANK
23:15:06 [Chaos Castle] (6) SetState BLANK
23:15:06 [Chaos Castle] (7) SetState BLANK
23:15:06 [Devil Square] (1) SetState BLANK
23:15:06 [Devil Square] (2) SetState BLANK
23:15:06 [Devil Square] (3) SetState BLANK
23:15:06 [Devil Square] (4) SetState BLANK
23:15:06 [Devil Square] (5) SetState BLANK
23:15:06 [Devil Square] (6) SetState BLANK
23:15:06 [Devil Square] (7) SetState BLANK
23:15:06 [Illusion Temple] (1) SetState BLANK
23:15:06 [Illusion Temple] (2) SetState BLANK
